title,description,link,likes,author,author_username,timestamp,mentions_in_caption,hashtags,scraped_at,views,shares,comments
Momen mk tolak gugatan prabowo-hatta,,https://www.tiktok.com/@arsip_sejarah/video/7351387500532747525,3554.0,@arsip_sejarah,arsip_sejarah,2024-03-28T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@arsip_sejarah/video/7539571173034659090,0.0,@,,2025-08-22T09:03:06.916311+00:00,[],[],2025-08-22 09:03:06,,0.0,0.0
MENJEMPUT KEMENANGAN INDONESIA,,https://www.tiktok.com/@asa.jatmiko/video/7335324015495564550,390.0,@asa.jatmiko,asa.jatmiko,2024-02-14T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
dulu pas debat Anis cuman omon-omon... sekarang banyak terbukti di setiap perkataan Anis...,,https://www.tiktok.com/@asepkrupuk/video/7474253251945254150,6315.0,@asepkrupuk,asepkrupuk,2024-02-22T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
Tulis di kolom biar telinganya dan matanya pemerintah di buka,,https://www.tiktok.com/@astuty_ae/video/7532345619009113352,48.0,@astuty_ae,astuty_ae,2024-07-29T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
created by Atep M with Sumiati Record’s واردال أونسي,created by Atep M with Sumiati Record’s واردال أونسي,https://www.tiktok.com/@atep2901/video/7335245950643981574,78.0,@atep2901,atep2901,2024-02-14T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@athifa1969/video/7539771070878878981,0.0,@,,2025-08-22T09:03:05.971801+00:00,[],[],2025-08-22 09:03:05,,0.0,0.0
,,https://www.tiktok.com/@athifa1969/video/7540206596203236613,0.0,@,,,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@athifa1969/video/7540444517787290936,0.0,@,,,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@athifa1969/video/7541045118862642437,0.0,@,,2025-08-22T09:03:14.702458+00:00,[],[],2025-08-22 09:03:14,,0.0,0.0
,,https://www.tiktok.com/@athifa1969/video/7541302599438388486,0.0,@,,2025-08-22T09:03:07.846944+00:00,[],[],2025-08-22 09:03:07,,0.0,0.0
,,https://www.tiktok.com/@athifa1969/video/7541314121338211640,0.0,@,,2025-08-22T09:03:06.834028+00:00,[],[],2025-08-22 09:03:06,,0.0,0.0
"wapres Ukraina gak bisa pidato,itu dungu namanya",,https://www.tiktok.com/@audin35/video/7453718501153459462,31.0,@audin35,audin35,2024-12-29T00:00:00+00:00,[],[],2025-08-26 07:41:12,,0.0,0.0
,,https://www.tiktok.com/@aunasgar1234/video/7535093392842165509,0.0,@,,,[],[],2025-08-22 04:19:48,,0.0,0.0
:: her speech was amazing,,https://www.tiktok.com/@autumndiar.y/video/7528552604045970710,0.0,@autumndiar.y,autumndiar.y,2025-07-19T00:00:00+00:00,[],[],2025-08-26 07:41:10,,0.0,0.0
Auuuuuu...😭😭🤣,,https://www.tiktok.com/@averege_man/video/7488592158757342482,0.0,@averege_man,averege_man,2025-04-02T00:00:00+00:00,[],[],2025-08-22 09:03:17,,0.0,0.0
created by KADER MILITAN with KADER MILITAN’s suara asli - Loyalis Terlupakan,created by KADER MILITAN with KADER MILITAN’s suara asli - Loyalis Terlupakan,https://www.tiktok.com/@awaluddin_loyalis08/video/7516988675394145554,4287.0,@awaluddin_loyalis08,awaluddin_loyalis08,2024-06-18T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@awwalkxzrro/video/7536935599387856184,40.0,@awwalkxzrro,awwalkxzrro,2024-08-10T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
Bukti sudah menggunakan hak pilih🥰🥰🥰🥰🥰🥰🥰🥰,,https://www.tiktok.com/@baahirahberkah01/video/7335340350019489029,5.0,@baahirahberkah01,baahirahberkah01,2024-02-14T00:00:00+00:00,[],[],2025-08-20 06:50:51,,0.0,0.0
Aceh dan sumatera adalah negara yg menyatukan diri dalam persatuan NKRI..,,https://www.tiktok.com/@babangrahmat.01/video/7516000381038611768,31.0,@babangrahmat.01,babangrahmat.01,2024-06-15T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@babehaldoaje135/video/7541247606773533970,0.0,@,,2025-08-22T09:03:07.001327+00:00,[],[],2025-08-22 09:03:06,,0.0,0.0
,,https://www.tiktok.com/@bahri.al.fathan0/video/7540554908928363783,0.0,@,,2025-08-22T09:03:05.597109+00:00,[],[],2025-08-22 09:03:05,,0.0,0.0
b,,https://www.tiktok.com/@bahrialfathan3/video/7532738688942492946,89.0,@bahrialfathan3,bahrialfathan3,2024-07-30T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
"Menurut Gus Miftah keluarga presiden yg keturunannya berkecimpung di bidang politik dan pemerintahan , keluarga bung Karno, keluarga pak SBY, keluarga Gus Dur juga, knp yg dibilang dinasti politik pak Jokowi saja.",,https://www.tiktok.com/@balqisahida/video/7297498783942806790,0.0,@balqisahida,balqisahida,2023-11-04T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@bandits_secret27/video/7539779434681748743,0.0,@,,2025-08-22T09:03:08.028097+00:00,[],[],2025-08-22 09:03:07,,0.0,0.0
,,https://www.tiktok.com/@bandungraya.news/video/7540881480596081976,0.0,@,,2025-08-22T09:03:06.645351+00:00,[],[],2025-08-22 09:03:06,,0.0,0.0
Pendidikan mampu menciptakan tatanan sosial / tatanan equilibrium. Negara harus berani berinvestasi untuk pendidikan semata untuk mencerdaskan kehidupan bangsa dan sesuai sengan Amanat UUD 1945 - Dr. Andi Irman puta sidin. 🤍✨️,,https://www.tiktok.com/@bang_kris007/video/7472698005582335287,0.0,@bang_kris007,bang_kris007,2024-02-18T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
created by bang Anwar with bang Anwar’s suara asli - bang Anwar,created by bang Anwar with bang Anwar’s suara asli - bang Anwar,https://www.tiktok.com/@banganwar308/video/7537659878379097352,21.0,@banganwar308,banganwar308,2025-08-15T03:25:45+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
Ini Jadwal resmi KPU untuk Putaran Kedua PEMILU 2024....,,https://www.tiktok.com/@banghafidd/video/7337563553894878482,0.0,@banghafidd,banghafidd,2024-02-20T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@bantuan.bansos.pkh.2025/video/7475594580344311058,5932.0,@bantuan.bansos.pkh.2025,bantuan.bansos.pkh.2025,2024-02-26T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
created by raja satrio with raja satrio’s suara asli - raja satrio,created by raja satrio with raja satrio’s suara asli - raja satrio,https://www.tiktok.com/@bapa_ultramen/video/7233572939935911195,0.0,@bapa_ultramen,bapa_ultramen,2023-05-16T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
CURANG2024 (75),,https://www.tiktok.com/@bareta589/video/7356611520211684609,119.0,@bareta589,bareta589,2024-04-11T00:00:00+00:00,[],[],2025-08-26 07:41:15,,0.0,0.0
"konstitusi rusak, muncul dinasti politik",,https://www.tiktok.com/@barini._.siam/video/7304551711023090950,696.0,@barini._.siam,barini._.siam,2023-11-23T00:00:00+00:00,[],[],2025-08-26 07:41:06,,0.0,0.0
Hentikan budaya dinasti politik yang membunuh regenerasi kepemimpinan bangsa. Penyakit yang menjadi musuh besar reformasi ini ternyata mulai menjangkiti pemimpin di Batam. Hanya ada satu kata: Lawan!! karena duduk diam adalah sebuah pengkhianatan,,https://www.tiktok.com/@batamspeak.up/video/7351816016076328198,842.0,@batamspeak.up,batamspeak.up,2024-03-29T00:00:00+00:00,[],[],2025-08-26 07:41:15,,0.0,0.0
ucapan presiden Soeharto sekarang sudah terbukti bahwa Presiden terpilih pak Prabowo Subianto 2024,,https://www.tiktok.com/@batik852/video/7358018237449129222,2135.0,@batik852,batik852,2024-04-15T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@bayutxnz2in/video/7540142487629843713,0.0,@,,2025-08-20T06:34:21+00:00,[],[],2025-08-20 06:34:21,,0.0,0.0
Pemerintah akan mengalokasikan anggaran sebesar Rp335 triliun untuk program Makan Bergizi Gratis (MBG) tahun 2026.,,https://www.tiktok.com/@bbcnewsindonesia/video/7538772739599928597,9976.0,@bbcnewsindonesia,bbcnewsindonesia,2025-08-18T03:25:45+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
"Pemerintah akan mengalokasikan anggaran sebesar Rp 178,7 triliun untuk gaji, kesejahteraan, penguatan kompetensi hingga tunjangan guru dan dosen Aparatur Sipil Negara (ASN) dan non-ASN tahun 2026.",,https://www.tiktok.com/@bbcnewsindonesia/video/7538801599573986581,116.0,@bbcnewsindonesia,bbcnewsindonesia,2025-08-18T03:25:45+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
NEGARA bagian dari PARTAI,,https://www.tiktok.com/@be_more99/video/7422296159844044037,51.0,@be_more99,be_more99,2024-10-05T00:00:00+00:00,[],[],2025-08-22 04:19:56,,0.0,0.0
,,https://www.tiktok.com/@bebasberopini/video/7363312028745829638,222.0,@bebasberopini,bebasberopini,2024-04-29T00:00:00+00:00,[],[],2025-08-26 07:41:09,,0.0,0.0
,,https://www.tiktok.com/@becandainhumor/video/7515372104880082182,0.0,@,,,[],[],2025-08-22 04:19:48,,0.0,0.0
"Saya menyesal, menyesal kenapa gak dari dulu ..",,https://www.tiktok.com/@becandainhumor/video/7517076486508023045,0.0,@becandainhumor,becandainhumor,2025-06-18T00:00:00+00:00,[],[],2025-08-26 07:25:00,0.0,0.0,0.0
,,https://www.tiktok.com/@bedcover/video/7406190920976076038,0.0,@bedcover,bedcover,2024-08-23T00:00:00+00:00,[],[],2025-08-27 02:29:08,,0.0,0.0
